solution0,4.00,3.500,0.50,20850362,20850362,20850362,20850362,none,2,5,1600,1870,0
solution1,4.00,3.500,0.50,9180708,9180708,9180708,9180708,none,2,5,1671,1953,0
solution2,4.00,3.500,0.50,12012859,12012859,12012859,12012859,none,2,5,1989,2214,0
solution3,4.00,3.500,0.50,7207307,7207307,7207307,7207307,none,2,5,2159,2427,0
solution4,4.00,3.500,0.50,7207307,7207307,7207307,7207307,none,2,5,2159,2427,0
solution5,4.00,3.500,0.50,7207307,7207307,7207307,7207307,none,2,5,2159,2427,0
solution6,4.00,3.500,0.50,20249755,20249755,20249755,20249755,none,2,5,1992,2450,0
solution7,4.00,3.500,0.50,12012141,12012141,12012141,12012141,none,2,5,2305,2655,0
solution8,4.00,3.500,0.50,8838222,8838222,8838222,8838222,none,2,5,2977,3064,0
solution9,4.00,3.500,0.50,1544508,1544508,1544508,1544508,none,2,5,3714,3340,0
solution10,4.00,3.500,0.50,1544508,1544508,1544508,1544508,none,2,5,3714,3340,0
solution11,4.00,3.500,0.50,1544508,1544508,1544508,1544508,none,2,5,3714,3340,0
solution12,4.00,3.500,0.50,1544508,1544508,1544508,1544508,none,2,5,3714,3340,0
solution13,4.00,3.500,0.50,1544508,1544508,1544508,1544508,none,2,5,3714,3340,0
solution14,4.00,3.500,0.50,1544508,1544508,1544508,1544508,none,2,5,3714,3340,0
solution15,4.00,3.500,0.50,1544508,1544508,1544508,1544508,none,2,5,3714,3340,0
solution16,4.00,3.500,0.50,1544508,1544508,1544508,1544508,none,2,5,3714,3340,0
solution17,4.00,3.500,0.50,1544508,1544508,1544508,1544508,none,2,5,3714,3340,0
solution18,4.00,3.500,0.50,20623115,20623115,20623115,20623115,none,2,5,2814,3729,0
solution19,4.00,3.500,0.50,9164912,9164912,9164912,9164912,none,2,5,2860,3833,0
solution20,4.00,3.677,0.50,11769457,11769457,11769457,11769457,none,2,5,3942,4800,0
solution21,4.00,3.677,0.50,9013414,9013414,9013414,9013414,none,2,5,3904,4704,0
solution22,4.00,3.677,0.50,9013414,9013414,9013414,9013414,none,2,5,3904,4704,0
solution23,4.00,3.677,0.50,9013414,9013414,9013414,9013414,none,2,5,3904,4704,0
solution24,4.00,3.677,0.50,20280629,20280629,20280629,20280629,none,2,5,4320,5928,0
solution25,4.00,3.677,0.50,12012500,12012500,12012500,12012500,none,2,5,4956,5920,0
solution26,4.00,4.338,0.50,8099759,8202074,8099759,8202074,none,2,20,4922,6144,0
solution27,4.00,5.254,0.50,7081994,7081994,7081994,7081994,none,2,15,77251,69112,0
solution28,4.00,5.254,0.50,7081994,7081994,7081994,7081994,none,2,15,77251,69112,0
solution29,4.00,5.254,0.50,7081994,7081994,7081994,7081994,none,2,15,77251,69112,0
solution30,4.00,5.254,0.50,7081994,7081994,7081994,7081994,none,2,15,77251,69112,0
solution31,4.00,5.254,0.50,7081994,7081994,7081994,7081994,none,2,15,77251,69112,0
solution32,4.00,5.254,0.50,7081994,7081994,7081994,7081994,none,2,15,77251,69112,0
solution33,4.00,5.254,0.50,7081994,7081994,7081994,7081994,none,2,15,77251,69112,0
